car_name,year,price,assemble_place,series,driven kms,num_of_seat,engine_type,transmission
 Mercedes Benz C class C200 Avantgarde,2021,61132.0,Locally assembled,Sedan,500,5,Petrol,Automatic
 Toyota RAV4 2.4 AT,2008,15184.0,Imported,SUV,80000,7,Petrol,Automatic
 Ford Explorer Limited 2.3L EcoBoost,2017,49300.0,Imported,SUV,123456,7,Petrol,Automatic
 Kia Sonet Premium 1.5 AT,2022,25636.0,Locally assembled,Crossover,12000,5,Petrol,Automatic
 Porsche Macan 2.0,2016,78840.0,Imported,SUV,40000,5,Petrol,Automatic
 Daewoo Lacetti EX 1.6 MT,2007,3944.0,Locally assembled,Sedan,170000,5,Petrol,Manual
 Toyota Corolla altis 1.8G AT,2017,22284.0,Locally assembled,Sedan,60000,5,Petrol,Automatic
 Porsche Macan 2.0,2021,154999.0,Imported,SUV,15000,5,Petrol,Automatic
 BMW 7 Series 730Li,2011,40229.0,Imported,Sedan,50000,5,Petrol,Automatic
 Kia Soul 4U 1.6 AT,2009,12029.0,Imported,SUV,130000,5,Petrol,Automatic
 Peugeot 3008 AL,2022,39243.0,Locally assembled,Crossover,10000,5,Petrol,Automatic
 Mitsubishi Outlander Sport 2.0 CVT Premium,2014,16959.0,Imported,SUV,94500,5,Petrol,Automatic
 Mercedes Benz E class E240,2003,7691.0,Imported,Sedan,166000,5,Petrol,Automatic
 LandRover Range Rover HSE 3.0,2015,151844.0,Imported,SUV,40000,5,Petrol,Automatic
 Hyundai i10 Grand 1.2 AT,2017,13804.0,Locally assembled,Hatchback,56000,5,Petrol,Automatic
 Kia Cerato 1.6 AT,2018,18734.0,Locally assembled,Sedan,56000,5,Petrol,Automatic
 Ford Ranger XLS 2.2L 4x2 AT,2014,15776.0,Imported,Bán tải / Pickup,80000,5,Diesel,Automatic
 Porsche Cayenne GTS,2008,27411.0,Imported,SUV,110000,5,Petrol,Automatic
 Audi A6 1.8 TFSI,2016,42201.0,Imported,Sedan,40000,5,Petrol,Automatic
 Mercedes Benz A class A250 Sport AMG,2013,22441.0,Imported,Hatchback,62000,5,Petrol,Automatic
 Toyota Innova 2.0E,2017,19247.0,Locally assembled,Crossover,90000,8,Petrol,Manual
 Hyundai Tucson 1.6 AT Turbo HTRAC Đặc biệt,2022,38651.0,Locally assembled,Crossover,11000,5,Petrol,Automatic
 Lexus RX 350 AWD,2009,34707.0,Imported,SUV,84000,5,Petrol,Automatic
 Mercedes Benz E class E300 AMG,2021,90239.0,Locally assembled,Sedan,24000,5,Petrol,Automatic
 BMW 3 Series 320i Sport Line,2019,51193.0,Imported,Sedan,23000,5,Petrol,Automatic
 Mercedes Benz C class C300 AMG,2022,80418.0,Locally assembled,Sedan,17,5,Petrol,Automatic
 Toyota Vios 1.5E MT,2019,15382.0,Locally assembled,Sedan,65000,5,Petrol,Manual
 Audi Q7 3.0 AT,2012,34313.0,Imported,SUV,80000,7,Petrol,Automatic
 Toyota Highlander SE 2.7,2011,25202.0,Imported,SUV,60000,7,Petrol,Automatic
 Kia Cerato 2.0 AT,2017,18734.0,Locally assembled,Sedan,62000,5,Petrol,Automatic
 Hyundai SantaFe SLX,2009,20903.0,Imported,SUV,80000,7,Diesel,Automatic
 Toyota Alphard 3.5 V6,2010,46539.0,Imported,Van/Minivan,87000,7,Petrol,Automatic
 Toyota Corolla altis 2.0V,2011,14435.0,Locally assembled,Sedan,100000,5,Petrol,Automatic
 Volkswagen Touareg 3.6 AT,2013,32341.0,Imported,SUV,10000,5,Petrol,Automatic
 Ford Focus 1.8 AT,2010,8992.0,Locally assembled,Hatchback,170000,5,Petrol,Automatic
 Mercedes Benz GLC 300 4Matic,2020,67008.0,Locally assembled,SUV,40000,5,Petrol,Automatic
 Chevrolet Captiva LTZ 2.4 AT,2008,8204.0,Locally assembled,SUV,150000,7,Petrol,Automatic
 Mercedes Benz GLC 200,2022,62631.0,Locally assembled,SUV,8000,5,Petrol,Automatic
 Honda HRV G,2018,22284.0,Imported,SUV,30000,5,Petrol,Automatic
 Porsche Cayenne S,2011,45356.0,Imported,SUV,76800,5,Petrol,Automatic
 Chevrolet Captiva LTZ 2.4 AT,2012,12424.0,Locally assembled,SUV,95000,7,Petrol,Automatic
 VinFast Lux A 2.0 2.0 AT,2019,24847.0,Locally assembled,Sedan,50000,5,Petrol,Automatic
 Mercedes Benz GL GL 550 4Matic,2010,34707.0,Imported,SUV,130000,7,Petrol,Automatic
 Mercedes Benz G class G63 AMG,2014,433800.0,Imported,SUV,16000,5,Petrol,Automatic
 Hyundai Accent 1.4 MT,2018,14198.0,Locally assembled,Sedan,55000,5,Petrol,Manual
 Kia Rondo 2.0at,2016,14987.0,Locally assembled,SUV,69000,7,Petrol,Automatic
 Toyota Fortuner 2.7V 4x2 AT,2021,42792.0,Imported,SUV,12000,7,Petrol,Automatic
 Toyota Previa 2.4 MT,1993,3865.0,Imported,Van/Minivan,100000,7,Petrol,Manual
 Honda City 1.5,2019,17551.0,Locally assembled,Sedan,40000,5,Petrol,Automatic
 BMW 3 Series 320i GT,2014,27569.0,Imported,Sedan,56000,5,Petrol,Automatic
 Kia Rondo GAT,2018,19247.0,Locally assembled,SUV,55000,7,Petrol,Automatic
 Kia Sorento DATH,2017,26780.0,Locally assembled,SUV,55000,7,Diesel,Automatic
 VinFast Fadil 1.4 AT Plus,2021,13765.0,Locally assembled,Hatchback,21000,5,Petrol,Automatic
 Mercedes Benz GL GL 450 4Matic,2010,33524.0,Imported,SUV,98000,7,Petrol,Automatic
 Ford EcoSport Titanium 1.5L AT,2016,15184.0,Locally assembled,SUV,62000,5,Petrol,Automatic
 Kia Morning 1.0 AT,2013,11004.0,Imported,Hatchback,72000,5,Petrol,Automatic
 Lexus RX 350 AWD,2014,65076.0,Imported,SUV,69000,5,Petrol,Automatic
 Chevrolet Trax 1.4 LT,2017,17314.0,Imported,SUV,55000,5,Petrol,Automatic
 Nissan Maxima 3.5 AT,2011,19523.0,Imported,Sedan,85000,5,Petrol,Automatic
 Mazda 6 2.0L,2018,22836.0,Locally assembled,Sedan,45000,5,Petrol,Automatic
 Mazda BT50 4x4  Thái,2016,16092.0,Imported,Bán tải / Pickup,68000,5,Petrol,Automatic
 Mercedes Benz GLC 300 4Matic,2021,74896.0,Locally assembled,SUV,29000,5,Petrol,Automatic
 Mitsubishi Outlander 2.0 CVT,2018,23625.0,Locally assembled,SUV,36000,7,Petrol,Automatic
 Kia Sorento 2.4 GAT Deluxe,2020,27569.0,Locally assembled,SUV,17000,7,Petrol,Automatic
 Mercedes Benz C class C200,2018,37665.0,Locally assembled,Sedan,47000,5,Petrol,Automatic
 Toyota Camry 2.5Q,2017,28988.0,Locally assembled,Sedan,62000,5,Petrol,Automatic
 Hyundai Tucson 2.0 ATH,2017,26030.0,Locally assembled,Crossover,80000,5,Petrol,Automatic
 Toyota Fortuner 2.7V 4x2 AT,2019,32932.0,Imported,SUV,27000,7,Petrol,Automatic
 Mazda BT50 Luxury 2.2L 4x2 AT,2021,23506.0,Imported,Bán tải / Pickup,26000,5,Diesel,Automatic
 BMW X5 xDrive35i,2015,55019.0,Imported,SUV,50500,7,Petrol,Automatic
 Mazda 3 1.5L Luxury,2019,20312.0,Locally assembled,Sedan,40000,5,Petrol,Automatic
 Kia Sorento DMT 2.2L 2WD,2014,20864.0,Locally assembled,SUV,80316,7,Diesel,Manual
 Toyota Innova G,2008,9387.0,Locally assembled,Crossover,90000,8,Petrol,Manual
 Ford Ranger Wildtrak 2.0L 4x2 AT,2018,25439.0,Imported,Bán tải / Pickup,75000,5,Diesel,Automatic
 Chevrolet Orlando LT 1.8,2017,14396.0,Locally assembled,SUV,78965,7,Petrol,Manual
 Gaz  Sadko,2002,7888.0,Imported,Truck,1,2,Diesel,Manual
 Honda Civic RS 1.5 AT,2019,25242.0,Imported,Sedan,32000,5,Petrol,Automatic
 Toyota Camry 2.0E,2018,29146.0,Locally assembled,Sedan,80000,5,Petrol,Automatic
 Mercedes Benz S class S400L,2015,70598.0,Locally assembled,Sedan,98000,5,Petrol,Automatic
 Suzuki Swift 1.4 AT,2013,13370.0,Imported,Hatchback,65000,5,Petrol,Automatic
 VinFast Fadil 1.4 AT,2021,13212.0,Locally assembled,Hatchback,18000,5,Petrol,Automatic
 Mazda 3 1.5L Luxury,2022,25044.0,Locally assembled,Sedan,12000,5,Petrol,Automatic
 BMW 5 Series 520i,2012,25636.0,Imported,Sedan,11900,5,Petrol,Automatic
