car_name,year,price,assemble_place,series,driven kms,num_of_seat,engine_type,transmission
 Suzuki Swift Special 1.2 AT,2019,19326.0,Imported,Hatchback,17000,5,Petrol,Automatic
 Toyota Wigo 1.2G AT,2018,12226.0,Imported,Hatchback,42000,5,Petrol,Automatic
 Toyota Corolla Cross 1.8V,2021,29383.0,Imported,SUV,25000,5,Petrol,Automatic
 Toyota Corolla altis 2.0V,2014,18734.0,Locally assembled,Sedan,86000,5,Petrol,Automatic
 Mazda CX5 2.0 AT,2018,25044.0,Locally assembled,SUV,42000,5,Petrol,Automatic
 Kia K3 Premium 2.0 AT,2021,24256.0,Locally assembled,Sedan,18000,5,Petrol,Automatic
 Kia Carnival GS 2.5 AT,2009,9150.0,Locally assembled,Van/Minivan,109000,7,Petrol,Automatic
 Mitsubishi Xpander Premium 1.5 AT,2022,26740.0,Imported,SUV,14000,7,Petrol,Automatic
 Jaguar XF 2.0 AT,2014,48866.0,Imported,Sedan,28000,5,Petrol,Automatic
 Kia K3 Luxury 1.6 AT,2022,24256.0,Locally assembled,Sedan,16000,5,Petrol,Automatic
 Lexus ES 350,2015,49694.0,Imported,Sedan,60000,5,Petrol,Automatic
 Toyota Wigo 1.2G AT,2018,12029.0,Imported,Hatchback,62000,5,Petrol,Automatic
 Mitsubishi Outlander 2.4 CVT Premium,2018,25991.0,Locally assembled,SUV,48000,7,Petrol,Automatic
 Kia Seltos Deluxe 1.4 AT,2022,23625.0,Locally assembled,Crossover,2800,5,Petrol,Automatic
 Mercedes Benz GLC 300 4Matic,2017,51232.0,Locally assembled,SUV,54000,5,Petrol,Automatic
 BMW X5 xDrive40i M Sport,2021,138000.0,Imported,SUV,3000,7,Petrol,Automatic
 Toyota Vios 1.5E CVT,2020,17669.0,Locally assembled,Sedan,46000,5,Petrol,Automatic
 Mazda CX5 2.5 Signature Premium 2WD,2020,30369.0,Locally assembled,SUV,40000,5,Petrol,Automatic
 Toyota Vios 1.5G,2018,17354.0,Locally assembled,Sedan,10000,5,Petrol,Automatic
 Hyundai i10 Grand 1.2 AT,2019,14396.0,Locally assembled,Sedan,45000,5,Petrol,Automatic
 Mercedes Benz G class G63 AMG,2021,441727.0,Imported,SUV,7500,5,Petrol,Automatic
 Ford Ranger Wildtrak 3.2L 4x4 AT,2017,28002.0,Imported,Bán tải / Pickup,60000,5,Diesel,Automatic
 Porsche Panamera Turbo,2009,110432.0,Imported,Sedan,40000,4,Petrol,Automatic
 Hyundai i10 Grand 1.2 AT,2019,14198.0,Locally assembled,Hatchback,50000,5,Petrol,Automatic
 Honda City 1.5 AT,2017,16368.0,Locally assembled,Sedan,8000,5,Petrol,Automatic
 Ford Fiesta 1.6 AT,2013,11004.0,Locally assembled,Sedan,74000,5,Petrol,Automatic
 Mitsubishi Xpander 1.5 AT,2019,21219.0,Imported,SUV,60000,7,Petrol,Automatic
 Hyundai Creta Cao cấp 1.5 AT,2022,28002.0,Imported,Crossover,18000,5,Petrol,Automatic
 Kia Sorento DATH,2016,25320.0,Locally assembled,SUV,98000,7,Diesel,Automatic
 Mazda 6 2.5 AT,2015,19720.0,Locally assembled,Sedan,80000,5,Petrol,Automatic
 Isuzu Dmax LS 3.0 4x2 MT,2010,11398.0,Locally assembled,Bán tải / Pickup,200000,5,Diesel,Manual
 Toyota Hilux 3.0G 4x4 MT,2010,14001.0,Imported,Bán tải / Pickup,56789,5,Diesel,Manual
 Porsche 911 Carrera,2021,347072.0,Imported,Coupe,8000,4,Petrol,Automatic
 Mercedes Benz GLE Class GLE 53 4Matic+ Coupe AMG,2022,202445.0,Imported,SUV,6789,5,Petrol,Automatic
 Kia Cerato 2.0 AT Premium,2019,22875.0,Locally assembled,Sedan,30000,5,Petrol,Automatic
 Kia Morning VAN 1.0 AT,2011,7415.0,Imported,Van/Minivan,90000,2,Petrol,Automatic
 Chevrolet Cruze LTZ 1.8 AT,2015,14396.0,Locally assembled,Sedan,50000,5,Petrol,Automatic
 Toyota Camry 2.5Q,2012,19523.0,Locally assembled,Sedan,150000,5,Petrol,Automatic
 Porsche Panamera 3.0 V6,2021,216446.0,Imported,Sedan,20000,4,Petrol,Automatic
 Toyota Corolla Cross 1.8G,2022,28988.0,Imported,SUV,13000,5,Petrol,Automatic
 VinFast Lux A 2.0 2.0 plus,2020,24256.0,Locally assembled,Sedan,33000,5,Petrol,Automatic
 Toyota Fortuner 3.0 V,2007,18340.0,Imported,SUV,999999,7,Diesel,Automatic
 Mazda CX5 Premium 2.0 AT,2023,32025.0,Locally assembled,SUV,6000,5,Petrol,Automatic
 Mazda CX5 2.0 AT,2018,26228.0,Locally assembled,SUV,76555,5,Petrol,Automatic
 Toyota Fortuner,2020,35102.0,Locally assembled,SUV,45000,7,Diesel,Automatic
 Toyota Innova 2.0E,2016,18537.0,Locally assembled,Crossover,78000,8,Petrol,Manual
 Toyota Innova 2.0G,2017,22481.0,Locally assembled,Crossover,63800,8,Petrol,Automatic
 Kia Cerato 1.6 AT,2011,12621.0,Imported,Sedan,1300000,5,Petrol,Automatic
 Kia Rondo DAT,2017,19326.0,Locally assembled,SUV,52000,7,Diesel,Automatic
 Mercedes Benz C class C200,2018,37665.0,Locally assembled,Sedan,40000,5,Petrol,Automatic
 Mazda 3 1.5 AT,2018,19917.0,Locally assembled,Sedan,45000,5,Petrol,Automatic
 Ford Focus Sport 1.5L,2016,18340.0,Locally assembled,Hatchback,58000,5,Petrol,Automatic
 Toyota Corolla altis 1.8G MT,2004,7888.0,Locally assembled,Sedan,80000,5,Petrol,Manual
 Toyota Corolla altis 1.8G AT,2021,26661.0,Locally assembled,Sedan,16000,5,Petrol,Automatic
 Kia Sedona 2.2 DAT Luxury,2020,40820.0,Locally assembled,Van/Minivan,28000,7,Diesel,Automatic
 Toyota Yaris 1.3G,2015,17551.0,Imported,Hatchback,63000,5,Petrol,Automatic
 Lexus RX 300,2019,110037.0,Imported,SUV,43000,5,Petrol,Automatic
 Mazda CX5 2.5 AT AWD,2018,26267.0,Locally assembled,SUV,75000,5,Petrol,Automatic
 VinFast VF e34 AT,2022,19326.0,Locally assembled,Crossover,14000,5,Điện,Automatic
 VinFast Lux A 2.0 Premium 2.0 AT,2021,28397.0,Locally assembled,Sedan,18000,5,Petrol,Automatic
 Hyundai Starex Van 2.5 MT,2006,6902.0,Imported,Van/Minivan,200000,6,Diesel,Manual
 Suzuki XL7 1.5 AT,2022,22402.0,Imported,SUV,17000,7,Petrol,Automatic
 Ford Everest 2.5L 4x2 AT,2013,20114.0,Locally assembled,SUV,56000,8,Diesel,Automatic
 Kia Rondo GMT,2018,16131.0,Locally assembled,SUV,42000,7,Petrol,Manual
 Ford Everest 2.5L 4x2 AT,2013,20114.0,Locally assembled,SUV,88000,8,Diesel,Automatic
 Ford EcoSport Titanium 1.5L AT,2019,19365.0,Locally assembled,SUV,48000,5,Petrol,Automatic
 Hyundai i10 Grand 1.0 AT,2016,13015.0,Imported,Hatchback,48000,5,Petrol,Automatic
 Toyota Vios 1.5E,2013,12226.0,Locally assembled,Sedan,50000,5,Petrol,Manual
 Toyota Fortuner 2.5G,2015,22875.0,Locally assembled,SUV,99000,8,Diesel,Manual
 Kia Forte SX 1.6 AT,2012,13607.0,Locally assembled,Sedan,100000,5,Petrol,Automatic
 Kia Forte SX 1.6 AT,2012,13015.0,Locally assembled,Sedan,10000,5,Petrol,Automatic
 Kia Sorento 2.2 DAT Premium,2020,32538.0,Locally assembled,SUV,14000,7,Diesel,Automatic
 Ford EcoSport Titanium 1.5L AT,2018,18340.0,Locally assembled,SUV,48000,5,Petrol,Automatic
 Mercedes Benz S class S450 4Matic,2022,216880.0,Imported,Sedan,1000,5,Petrol,Automatic
 Kia Cerato 2.0 AT Premium,2020,21298.0,Locally assembled,Sedan,35000,5,Petrol,Automatic
 Hyundai i10 Grand 1.2 AT,2017,13607.0,Locally assembled,Sedan,48140,5,Petrol,Automatic
 Toyota Vios 1.5E MT,2020,16170.0,Locally assembled,Sedan,23000,5,Petrol,Manual
 Hyundai Tucson 1.6 AT Turbo,2018,28594.0,Locally assembled,Crossover,51000,5,Petrol,Automatic
 Hyundai Tucson 2.0 AT 4WD,2011,15382.0,Imported,Crossover,84492,5,Petrol,Automatic
 Porsche Panamera 4 Executive,2018,171564.0,Imported,Sedan,11000,4,Petrol,Automatic
 Mercedes Benz GLS 450 4Matic,2020,161309.0,Imported,SUV,30000,7,Petrol,Automatic
 Chevrolet Orlando LTZ 1.8 AT,2016,14593.0,Locally assembled,SUV,65000,7,Petrol,Automatic
 Honda Accord 1.5 AT,2020,37468.0,Imported,Sedan,22000,5,Petrol,Automatic
 Toyota Fortuner 2.5G,2014,22875.0,Locally assembled,SUV,175000,8,Diesel,Manual
 Mercedes Benz C class C300 AMG,2022,80852.0,Locally assembled,Sedan,1500,5,Petrol,Automatic
 Mercedes Benz GLC 300 4Matic,2018,53638.0,Locally assembled,SUV,40000,5,Petrol,Automatic
 Mazda CX8 Luxury,2022,36482.0,Locally assembled,SUV,33000,7,Petrol,Automatic
 Toyota Fortuner 2.8V 4x4 AT Legender,2021,51232.0,Locally assembled,SUV,12000,7,Diesel,Automatic
 Mercedes Benz GLC 250 4Matic,2017,47131.0,Locally assembled,SUV,43000,5,Petrol,Automatic
 Mercedes Benz GLC 200 4Matic,2021,66220.0,Locally assembled,SUV,26000,5,Petrol,Automatic
 Hyundai Tucson 1.6 AT Turbo,2019,30684.0,Locally assembled,Crossover,70000,5,Petrol,Automatic
 Mazda CX5 2.0 Deluxe,2020,28397.0,Locally assembled,SUV,39000,5,Petrol,Automatic
 Mazda 3 1.5 AT,2018,19523.0,Locally assembled,Sedan,70000,5,Petrol,Automatic
 Ford Ranger XLS 2.2L 4x2 MT,2015,15382.0,Imported,Bán tải / Pickup,110000,5,Diesel,Manual
 Mercedes Benz C class 300 AMG,2021,61329.0,Locally assembled,Crossover,14000,5,Petrol,Automatic
 Mercedes Benz GLS 450 4Matic,2021,172668.0,Imported,SUV,17900,7,Petrol,Automatic
 Mercedes Benz GLS 450 4Matic,2021,180596.0,Imported,SUV,22500,7,Petrol,Automatic
 Toyota Fortuner 2.7V 4x2 AT,2013,17945.0,Locally assembled,SUV,100000,8,Petrol,Automatic
 Ford Ranger Wildtrak 2.0L 4x4 AT,2022,34313.0,Locally assembled,Bán tải / Pickup,15000,5,Diesel,Automatic
 VinFast Fadil 1.4 AT,2020,12226.0,Locally assembled,Hatchback,50000,5,Petrol,Automatic
 Mazda CX5 2.5 AT 2WD,2018,27411.0,Locally assembled,SUV,41000,5,Petrol,Automatic
 Toyota Innova 2.0E,2017,19128.0,Locally assembled,Crossover,95000,8,Petrol,Manual
 Toyota Corolla altis 1.8G MT,2015,14987.0,Locally assembled,Sedan,90000,5,Petrol,Manual
 Kia Cerato 1.6 AT,2017,18537.0,Locally assembled,Sedan,6,5,Petrol,Automatic
 Toyota Rush 1.5S AT,2019,22875.0,Imported,SUV,85000,7,Petrol,Automatic
 Kia Seltos Premium 1.4 AT,2021,27174.0,Locally assembled,Crossover,28000,5,Petrol,Automatic
 Chevrolet Captiva LT 2.0 MT,2009,11043.0,Locally assembled,SUV,185,7,Diesel,Manual
 Hyundai i10 Grand 1.0 MT,2014,8480.0,Imported,Hatchback,78000,5,Petrol,Manual
 Hyundai i10 Grand 1.2 AT,2019,13804.0,Locally assembled,Hatchback,42000,5,Petrol,Automatic
 Lexus RX 350 AWD,2011,39401.0,Imported,SUV,80000,5,Petrol,Automatic
 VinFast Lux SA 2.0 2.0 AT,2021,31473.0,Locally assembled,SUV,12000,7,Petrol,Automatic
 BMW Z4 sDrive30i M Sport,2021,115559.0,Imported,Convertible/Cabriolet,1500,2,Petrol,Automatic
 Kia Soluto 1.4 AT Deluxe,2020,15737.0,Locally assembled,Sedan,29551,5,Petrol,Automatic
 VinFast Lux A 2.0 Plus 2.0 AT,2021,25636.0,Locally assembled,Sedan,20000,5,Petrol,Automatic
 Toyota Camry 2.4G,2012,17156.0,Locally assembled,Sedan,99000,5,Petrol,Automatic
 Ford EcoSport Titanium 1.5L AT,2019,18931.0,Locally assembled,SUV,40000,5,Petrol,Automatic
 Mercedes Benz S class S63 AMG,2008,50483.0,Imported,Sedan,131000,5,Petrol,Automatic
 Toyota Vios 1.5G,2019,18497.0,Locally assembled,Sedan,47000,5,Petrol,Automatic
 Ford Ranger Wildtrak 3.2L 4x4 AT,2016,22678.0,Imported,Bán tải / Pickup,90000,5,Diesel,Automatic
 Mercedes Benz E class E200,2019,53244.0,Locally assembled,Sedan,36000,5,Petrol,Automatic
 Dongben DB X30 V2S,2017,5048.0,Imported,Van/Minivan,11000,2,Petrol,Manual
 Kia Carens CRDi 2.0 AT,2007,10254.0,Imported,Crossover,100000,7,Diesel,Automatic
 Kia Seltos Premium 1.4 AT,2022,27608.0,Locally assembled,Crossover,9000,5,Petrol,Automatic
 Mazda 3 1.5L Sport Luxury,2021,24058.0,Locally assembled,Hatchback,22000,5,Petrol,Automatic
 Hyundai i10 Grand 1.2 AT,2020,14277.0,Locally assembled,Hatchback,40000,5,Petrol,Automatic
 Mazda CX5 2.0 AT,2013,19681.0,Locally assembled,SUV,38000,5,Petrol,Automatic
 Hyundai SantaFe 2.4L 4WD,2014,25202.0,Imported,SUV,90,7,Petrol,Automatic
 Mitsubishi Xpander Cross 1.5 AT,2021,24453.0,Imported,SUV,1400,7,Petrol,Automatic
 Ford Transit Van 2.4L,2005,4141.0,Locally assembled,Van/Minivan,500000,6,Diesel,Manual
 Toyota Yaris 1.3G,2016,16170.0,Imported,Hatchback,45000,5,Petrol,Automatic
 Ford Ranger Wildtrak 3.2L 4x4 AT,2017,25439.0,Imported,Bán tải / Pickup,86000,5,Diesel,Automatic
 Hyundai SantaFe 2.4L HTRAC,2019,34904.0,Locally assembled,SUV,36899,7,Petrol,Automatic
 Mercedes Benz C class C300 AMG,2022,78840.0,Locally assembled,Sedan,20,5,Petrol,Automatic
 Toyota Vios 1.5G,2017,16762.0,Locally assembled,Sedan,55000,5,Petrol,Automatic
 Kia Sorento GATH,2018,25163.0,Locally assembled,SUV,55000,7,Petrol,Automatic
 Honda Brio G,2019,14790.0,Imported,Hatchback,28000,5,Petrol,Automatic
 Mercedes Benz G class G63 AMG,2021,441254.0,Imported,SUV,7520,5,Petrol,Automatic
 Kia Rio 1.4 AT,2015,15184.0,Imported,Hatchback,63000,5,Petrol,Automatic
 Mazda 3 1.5L Luxury,2019,20509.0,Locally assembled,Sedan,55000,5,Petrol,Automatic
 Kia Soluto 1.4 AT Deluxe,2019,14396.0,Locally assembled,Sedan,63000,5,Petrol,Automatic
 Toyota Vios 1.5E CVT,2019,16959.0,Locally assembled,Sedan,55000,5,Petrol,Automatic
 Kia Sorento 2.2 DAT Premium,2019,30724.0,Locally assembled,SUV,42000,7,Diesel,Automatic
 Porsche Macan 2.0,2015,74896.0,Imported,SUV,80000,5,Petrol,Automatic
 BMW 7 Series 730Li,2018,106093.0,Imported,Sedan,48000,5,Petrol,Automatic
 BMW M4 Coupe,2016,130152.0,Imported,Coupe,40000,5,Petrol,Automatic
 Toyota Vios 1.5E CVT,2018,16762.0,Locally assembled,Sedan,50000,5,Petrol,Automatic
 Kia Soluto 1.4 AT Deluxe,2020,15382.0,Locally assembled,Sedan,79000,5,Petrol,Automatic
 Mazda CX5 2.5 Signature Premium 2WD,2020,31118.0,Locally assembled,SUV,33300,5,Petrol,Automatic
 Suzuki XL7 1.5 AT,2021,21298.0,Imported,SUV,24000,7,Petrol,Automatic
 Toyota Yaris 1.3G,2016,17275.0,Imported,Hatchback,58000,5,Petrol,Automatic
 Toyota Fortuner 2.7V 4x2 AT,2017,31355.0,Imported,SUV,9400,8,Petrol,Automatic
 Suzuki XL7 1.5 AT,2020,19562.0,Imported,SUV,25000,7,Petrol,Automatic
 Toyota Camry 2.5Q,2019,34510.0,Locally assembled,Sedan,60000,5,Petrol,Automatic
 Toyota Hiace Van 2.0,2002,2288.0,Locally assembled,Van/Minivan,30,3,Petrol,Manual
 Ford Ranger XLS 2.2L 4x2 AT,2021,23072.0,Imported,Bán tải / Pickup,30000,5,Diesel,Automatic
 Isuzu NQR,2021,27608.0,Locally assembled,Truck,30000,3,Diesel,Manual
 Mitsubishi Xpander 1.5 AT,2021,22441.0,Imported,SUV,31000,7,Petrol,Automatic
 Ford Everest 2.5L 4x2 AT,2012,14553.0,Locally assembled,SUV,11000,8,Diesel,Automatic
 Mercedes Benz C class C300 AMG,2022,76474.0,Locally assembled,Sedan,32,5,Petrol,Automatic
 Ford Tourneo Titanium 2.0 AT,2020,33327.0,Locally assembled,Van/Minivan,19000,7,Petrol,Automatic
 Toyota 4 Runner SR5,2011,54664.0,Imported,SUV,77000,7,Petrol,Automatic
 VinFast Fadil Tiêu chuẩn 1.4 AT,2022,13607.0,Locally assembled,Hatchback,19000,5,Petrol,Automatic
 Volvo XC90 T6 Inscription,2016,74936.0,Imported,SUV,140000,7,Petrol,Automatic
 Kia Cerato 1.6 AT Luxury,2020,22402.0,Locally assembled,Sedan,1,5,Petrol,Automatic
 Toyota Vios E 1.5 MT,2021,16959.0,Locally assembled,Sedan,62000,5,Petrol,Manual
 Lexus RX 350 AWD,2009,35299.0,Imported,SUV,86000,5,Petrol,Automatic
 Mercedes Benz GLC 300 4Matic,2020,70952.0,Locally assembled,SUV,17999,5,Petrol,Automatic
 Mercedes Benz S class S500L,2015,86373.0,Imported,Sedan,36000,5,Petrol,Automatic
 BMW 5 Series 528i GT,2016,45277.0,Imported,Sedan,80000,5,Petrol,Automatic
 Ford Ranger Wildtrak 2.0L 4x4 AT,2018,34234.0,Imported,Bán tải / Pickup,50000,5,Diesel,Automatic
 Toyota Corolla altis 2.0V AT,2017,21692.0,Locally assembled,Sedan,62000,5,Petrol,Automatic
 Toyota Vios 1.5E CVT,2020,16565.0,Locally assembled,Sedan,47000,5,Petrol,Automatic
 Lexus LX 570,2016,230724.0,Imported,SUV,24000,7,Petrol,Automatic
 Mazda 3 1.5 AT,2018,21298.0,Locally assembled,Sedan,50000,5,Petrol,Automatic
 Ford Ranger Raptor 2.0L 4x4 AT,2018,37034.0,Imported,Bán tải / Pickup,67000,5,Diesel,Automatic
 Hyundai Tucson 1.6 AT Turbo,2019,27963.0,Locally assembled,Crossover,84000,5,Petrol,Automatic
 Lexus RX 350,2019,130152.0,Imported,SUV,42000,5,Petrol,Automatic
 Toyota Hilux 3.0G 4x4 AT,2015,25044.0,Imported,Bán tải / Pickup,10500,5,Diesel,Automatic
 Toyota Yaris 1.5G,2019,22284.0,Imported,Hatchback,40000,5,Petrol,Automatic
 Mercedes Benz GLC 250 4Matic,2016,43778.0,Locally assembled,SUV,80000,5,Petrol,Automatic
 Toyota Fortuner 2.4G 4x2 AT,2020,35457.0,Locally assembled,SUV,70100,8,Diesel,Automatic
 Ford Ranger Wildtrak 3.2L 4x4 AT,2016,24650.0,Imported,Bán tải / Pickup,125000,5,Diesel,Automatic
 Mazda 3 1.5 AT,2016,17748.0,Locally assembled,Sedan,53000,5,Petrol,Automatic
 Mercedes Benz C class C180 AMG,2021,47249.0,Locally assembled,Sedan,14000,5,Petrol,Automatic
 Mitsubishi Xpander 1.5 AT,2021,23072.0,Imported,SUV,30000,7,Petrol,Automatic
 Ford Ranger XLS 2.2L 4x2 MT,2016,16525.0,Imported,Bán tải / Pickup,62000,5,Diesel,Manual
 Mercedes Benz S class S450 4Matic,2022,181384.0,Imported,Sedan,6600,5,Petrol,Automatic
 Mazda CX5 Luxury 2.0 AT,2022,30566.0,Locally assembled,SUV,15000,5,Petrol,Automatic
 Mercedes Benz S class S450L Luxury,2020,132124.0,Locally assembled,Sedan,16000,5,Petrol,Automatic
 Audi A6 1.8 TFSI,2018,45356.0,Imported,Sedan,72000,5,Petrol,Automatic
 Ford Everest 2.5L 4x2 AT,2015,18931.0,Locally assembled,SUV,90000,8,Diesel,Automatic
 Mazda 3 1.5 AT,2018,19641.0,Locally assembled,Sedan,39000,5,Petrol,Automatic
 Mercedes Benz E class E200,2018,50878.0,Locally assembled,Sedan,42000,5,Petrol,Automatic
 Lexus GX 460,2010,56005.0,Imported,SUV,10000,7,Petrol,Automatic
 Toyota Wigo 1.2 AT,2020,12818.0,Imported,Hatchback,26000,5,Petrol,Automatic
 Ford Ranger XLS 2.2L 4x2 AT,2017,18892.0,Imported,Bán tải / Pickup,80000,5,Diesel,Automatic
 Mercedes Benz GLC 300 4Matic,2022,82784.0,Locally assembled,SUV,15858,5,Petrol,Automatic
 Toyota Fortuner 2.7V 4X2 AT,2016,22284.0,Locally assembled,SUV,96000,8,Petrol,Automatic
 Mazda 6 2.5 AT,2015,21100.0,Locally assembled,Sedan,98000,5,Petrol,Automatic
 LandRover Defender 110 SE P300 2.0 AT,2022,205048.0,Imported,SUV,2000,7,Petrol,Automatic
 Toyota Fortuner 2.4G 4x2 AT,2021,36640.0,Locally assembled,SUV,30000,7,Diesel,Automatic
 Mercedes Benz C class C250 Exclusive,2016,37034.0,Locally assembled,Sedan,50000,5,Petrol,Automatic
 Mercedes Benz S class Maybach S400,2016,169592.0,Imported,Sedan,40000,5,Petrol,Automatic
 Mazda 3 1.5L Luxury,2019,20706.0,Locally assembled,Sedan,30000,5,Petrol,Automatic
 Toyota Corolla altis 1.8G AT,2016,19917.0,Locally assembled,Sedan,77777,5,Petrol,Automatic
 Mercedes Benz GLC 200,2022,67008.0,Locally assembled,SUV,7000,5,Petrol,Automatic
 Lexus RX 350,2007,19523.0,Imported,SUV,130000,5,Petrol,Automatic
 Ford Tourneo Titanium 2.0 AT,2019,39046.0,Locally assembled,Van/Minivan,35000,7,Petrol,Automatic
 Mercedes Benz C class C200 Avantgarde,2021,65076.0,Locally assembled,Sedan,1000,5,Petrol,Automatic
 VinFast Lux SA 2.0 2.0 AT,2021,30960.0,Locally assembled,SUV,10000,7,Petrol,Automatic
 Kia Rio 1.4 AT,2016,14317.0,Imported,Sedan,75000,5,Petrol,Automatic
 Kia Cerato 1.6 MT,2018,15697.0,Locally assembled,Sedan,8400039,5,Petrol,Manual
 Mercedes Benz GLC 200,2022,70952.0,Locally assembled,SUV,50,5,Petrol,Automatic
 Porsche Panamera 4 Executive,2021,295800.0,Imported,Sedan,13000,4,Petrol,Automatic
 Mercedes Benz GLC 200 4Matic,2022,78840.0,Locally assembled,SUV,10,5,Petrol,Automatic
 Toyota Yaris 1.5G,2017,19720.0,Imported,Hatchback,22030,5,Petrol,Automatic
 Toyota Fortuner 2.4G 4x2 AT,2018,33879.0,Imported,SUV,60000,8,Diesel,Automatic
 Toyota Fortuner 2.7V 4x4 AT,2019,35102.0,Imported,SUV,35628,8,Petrol,Automatic
 Ford Focus Trend 1.5L,2018,17314.0,Locally assembled,Sedan,49000,5,Petrol,Automatic
 Mercedes Benz S class S450L Luxury,2019,124236.0,Locally assembled,Sedan,50000,5,Petrol,Automatic
 Mitsubishi Jolie SS,2005,3865.0,Locally assembled,SUV,150000,8,Petrol,Manual
 Toyota Corolla altis 1.8G AT,2019,24058.0,Locally assembled,Sedan,26900,5,Petrol,Automatic
 Ford Ranger Wildtrak 3.2L 4x4 AT,2017,25242.0,Imported,Bán tải / Pickup,82000,5,Diesel,Automatic
 Toyota Camry 2.5Q,2014,22678.0,Locally assembled,Sedan,100000,5,Petrol,Automatic
 Toyota Innova 2.0G,2019,24256.0,Locally assembled,Crossover,150000,8,Petrol,Automatic
 Toyota Corolla altis 1.8G AT,2012,16486.0,Locally assembled,Sedan,72000,5,Petrol,Automatic
 Lexus LX 570 Super Sport,2018,280024.0,Imported,SUV,35000,7,Petrol,Automatic
 Toyota Prado VX 2.7L,2021,99389.0,Imported,SUV,18000,7,Petrol,Automatic
 Hyundai Elantra 1.6 MT,2017,16092.0,Locally assembled,Sedan,550000,5,Petrol,Manual
 Audi A6 2.0T,2013,28397.0,Imported,Sedan,66000,5,Petrol,Automatic
 Hyundai i10 1.2 AT,2021,15737.0,Locally assembled,Hatchback,20000,5,Petrol,Automatic
 Toyota Zace GL,2005,6626.0,Locally assembled,SUV,200000,8,Petrol,Manual
 Hyundai Elantra 2.0 AT,2018,19128.0,Locally assembled,Sedan,60,5,Petrol,Automatic
 Kia Morning Van 1.0 AT,2014,8795.0,Imported,Van/Minivan,68000,2,Petrol,Automatic
 Suzuki Swift GLX 1.2 AT,2019,17945.0,Imported,Hatchback,41000,5,Petrol,Automatic
 Lexus RX 350 AWD,2009,35102.0,Imported,SUV,100000,5,Petrol,Automatic
 Lexus ES 250,2019,74542.0,Imported,Sedan,40000,5,Petrol,Automatic
 Volvo XC90 T6 Inscription,2016,100572.0,Imported,SUV,50000,7,Petrol,Automatic
 Mazda 3 1.6 AT,2010,12226.0,Imported,Hatchback,42000,5,Petrol,Automatic
 Lexus LX 570 Super Sport MBS,2020,352988.0,Imported,SUV,18000,4,Petrol,Automatic
 Mazda CX5 2.0 Luxury,2020,28988.0,Locally assembled,SUV,42000,5,Petrol,Automatic
 Lexus ES 250,2019,82430.0,Imported,Sedan,25000,5,Petrol,Automatic
 Bentley Flying Spur First Edition V8,2021,0.0,Imported,Sedan,2345,5,Petrol,Automatic
 Toyota Corolla altis 1.8G MT,2004,7691.0,Locally assembled,Sedan,230000,5,Petrol,Manual
 Lexus GX 460,2010,53638.0,Imported,SUV,10000,7,Petrol,Automatic
 Toyota Fortuner 2.4L 4x2 AT,2022,41412.0,Locally assembled,SUV,15000,7,Diesel,Automatic
 Hyundai i10 Grand 1.0 AT,2016,12029.0,Imported,Hatchback,70000,5,Petrol,Automatic
 Suzuki Swift RS,2017,13765.0,Locally assembled,Hatchback,9,5,Petrol,Automatic
 Toyota Vios 1.5G,2020,19681.0,Locally assembled,Sedan,6300,5,Petrol,Automatic
 Hyundai Tucson 1.6 AT Turbo,2017,26780.0,Locally assembled,Crossover,50000,5,Petrol,Automatic
 Mercedes Benz E class E300 AMG,2020,70952.0,Locally assembled,Sedan,50000,5,Petrol,Automatic
 Hyundai Kona 2.0 ATH,2020,22836.0,Locally assembled,Crossover,30000,5,Petrol,Automatic
 Toyota Camry LE 2.4,2009,19917.0,Imported,Sedan,123456,5,Petrol,Automatic
 Hyundai SantaFe Tiêu chuẩn 2.2L,2021,42595.0,Locally assembled,SUV,13000,7,Diesel,Automatic
 Toyota Vios 1.5E MT,2020,16565.0,Locally assembled,Sedan,25000,5,Petrol,Manual
 Porsche Cayenne 3.0 V6,2021,224808.0,Imported,SUV,16000,5,Petrol,Automatic
 Hyundai i10 Grand 1.2 MT Base,2020,11635.0,Locally assembled,Hatchback,25000,5,Petrol,Manual
 Toyota Innova G,2006,7336.0,Locally assembled,Crossover,20000,8,Petrol,Manual
 Hyundai Elantra 2.0 AT,2021,22284.0,Locally assembled,Sedan,38000,5,Petrol,Automatic
 Nissan Teana 2.5 SL,2014,22284.0,Imported,Sedan,82000,5,Petrol,Automatic
 Hyundai i10 Grand 1.2 AT,2020,15579.0,Locally assembled,Hatchback,7000,5,Petrol,Automatic
 Kia K3 Premium 1.6 AT,2022,24650.0,Locally assembled,Sedan,30000,5,Petrol,Automatic
 Hyundai i10 Grand 1.0 MT Base,2014,7691.0,Imported,Hatchback,62000,5,Petrol,Manual
 Toyota Yaris 1.3G,2015,17551.0,Imported,Hatchback,62000,5,Petrol,Automatic
 Mercedes Benz GLC 200 4Matic,2022,76908.0,Locally assembled,SUV,6000,5,Petrol,Automatic
 Kia Morning Luxury,2020,14829.0,Locally assembled,Hatchback,32000,5,Petrol,Automatic
 Mazda CX5 2.0 Premium,2020,30724.0,Locally assembled,SUV,28000,5,Petrol,Automatic
 VinFast Fadil Tiêu chuẩn 1.4 AT,2022,14001.0,Locally assembled,Hatchback,9000,5,Petrol,Automatic
